id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
7836,Aaron,Rodgers,GBP,QB,36,14,QB,robust,19.01,14,0.2975,2.342508,17.388,20.232,5
7836,Aaron,Rodgers,GBP,QB,36,14,QB,weighted,19.11387097,14,0.328548387,2.234457429,17.23,20.09612,5
7877,Frank,Gore,BUF,RB,36,14,RB,average,5.91,61,0.335,0.919238816,5.325,6.495,16
7877,Frank,Gore,BUF,RB,36,14,RB,robust,5.91,61,0.335,0.96369,5.325,6.495,16
7877,Frank,Gore,BUF,RB,36,14,RB,weighted,5.861075269,62,0.34327957,0.919238816,5.26,6.419418605,16
7942,Darren,Sproles,PHI,RB,36,14,RB,average,6.165,56,0.065,4.164858941,3.5145,8.8155,16
7942,Darren,Sproles,PHI,RB,36,14,RB,robust,6.165,56,0.065,4.366257,3.5145,8.8155,16
7942,Darren,Sproles,PHI,RB,36,14,RB,weighted,5.943333333,60,0.052795699,4.164858941,3.22,8.47305814,16
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,average,14.305,27,0.45,2.001112191,13.0315,15.5785,8
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,robust,14.305,27,0.45,2.097879,13.0315,15.5785,8
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,weighted,14.41150538,27,0.044946237,2.001112191,12.89,15.45681,8
8247,Vernon,Davis,WAS,TE,35,13,TE,average,5.89,30,0.2275,1.117228714,5.179,6.601,12
8247,Vernon,Davis,WAS,TE,35,13,TE,robust,5.89,30,0.2275,1.171254,5.179,6.601,12
8247,Vernon,Davis,WAS,TE,35,13,TE,weighted,5.830537634,31,0.364946237,1.117228714,5.1,6.509139535,12
8269,Marcedes,Lewis,GBP,TE,35,13,TE,average,3.97,46,0.0975,0.692964646,3.529,4.411,14
8269,Marcedes,Lewis,GBP,TE,35,13,TE,robust,3.97,46,0.0975,0.726474,3.529,4.411,14
8269,Marcedes,Lewis,GBP,TE,35,13,TE,weighted,3.93311828,46,0.089408602,0.692964646,3.48,4.354023256,14
8416,Delanie,Walker,TEN,TE,35,13,TE,average,11.96,5,0.3775,0.268700577,11.789,12.131,3
8416,Delanie,Walker,TEN,TE,35,13,TE,robust,11.96,5,0.3775,0.281694,11.789,12.131,3
8416,Delanie,Walker,TEN,TE,35,13,TE,weighted,11.94569892,5,0.30016129,0.268700577,11.77,12.10890698,3
8658,Adrian,Peterson,WAS,RB,34,12,RB,average,2.845,80,0.05,3.118340905,0.8605,4.8295,18
8658,Adrian,Peterson,WAS,RB,34,12,RB,robust,2.845,80,0.05,3.269133,0.8605,4.8295,18
8658,Adrian,Peterson,WAS,RB,34,12,RB,weighted,2.679032258,84,0.275698925,3.118340905,0.64,4.573104651,18
8673,Ted,Ginn Jr.,NOS,WR,34,12,WR,average,7.47,77,0.15,0.268700577,7.299,7.641,21
10271,Julio,Jones,ATL,WR,30,8,WR,robust,19.405,2,0.1925,1.312101,18.6085,20.2015,2
10271,Julio,Jones,ATL,WR,30,8,WR,weighted,19.4716129,2,0.20344086,1.251579003,18.52,20.12539,2
8687,Greg,Olsen,CAR,TE,34,12,TE,average,9.4,14,0.28,0.862670273,8.851,9.949,7
8687,Greg,Olsen,CAR,TE,34,12,TE,robust,9.4,14,0.28,0.904386,8.851,9.949,7
8687,Greg,Olsen,CAR,TE,34,12,TE,weighted,9.445913978,14,0.397419355,0.862670273,8.79,9.89654,7
8712,Drew,Stanton,CLE,QB,35,12,QB,average,0.852,43,0.003,0.602454978,0.0426,0.8094,10
8712,Drew,Stanton,CLE,QB,35,12,QB,robust,0.852,43,0.003,0.6315876,0.0426,0.8094,10
8712,Drew,Stanton,CLE,QB,35,12,QB,weighted,0.852,45,0.003,0.602454978,0,0.759865116,10
8944,Matt,Moore,KCC,QB,35,12,QB,average,0.996,37,0.032,0.704278354,0.0498,0.9462,10
8944,Matt,Moore,KCC,QB,35,12,QB,robust,0.996,37,0.032,0.7383348,0.0498,0.9462,10
8944,Matt,Moore,KCC,QB,35,12,QB,weighted,0.996,38,0.032,0.704278354,0,0.888293023,10
9064,Joe,Flacco,DEN,QB,34,11,QB,average,13.42,29,0.815,1.612203461,12.294,14.346,8
9064,Joe,Flacco,DEN,QB,34,11,QB,robust,13.42,29,0.815,1.690164,12.294,14.346,8
9064,Joe,Flacco,DEN,QB,34,11,QB,weighted,13.49827957,30,0.811236559,1.612203461,12.18,14.24796,8
9073,Chad,Henne,KCC,QB,34,11,QB,average,0,56,0,NA,0,0,10
9073,Chad,Henne,KCC,QB,34,11,QB,robust,0,56,0,0,0,0,10
9073,Chad,Henne,KCC,QB,34,11,QB,weighted,0,58,0,NA,0,0,10
9075,DeSean,Jackson,PHI,WR,33,11,WR,average,12.74,31,0.19,1.725340546,11.642,13.838,10
12652,Michael,Thomas,NOS,WR,26,3,WR,robust,19.315,3,0.215,1.949619,18.1315,20.4985,2
12652,Michael,Thomas,NOS,WR,26,3,WR,weighted,19.41397849,3,0.305698925,1.859690835,18,20.38541,2
9099,Matt,Ryan,ATL,QB,34,11,QB,average,19.785,10,0.2675,1.209152596,18.9155,20.4545,4
9099,Matt,Ryan,ATL,QB,34,11,QB,robust,19.785,10,0.2675,1.267623,18.9155,20.4545,4
9099,Matt,Ryan,ATL,QB,34,11,QB,weighted,19.84182796,10,0.291774194,1.209152596,18.83,20.38097,4
9200,Matt,Slater,NEP,WR,34,11,WR,average,0,164,NA,NA,0,0,NA
11679,Odell,Beckham,CLE,WR,27,5,WR,robust,19.11,4,0.25,0.311346,18.921,19.299,2
13156,JuJu,Smith-Schuster,PIT,WR,23,2,WR,weighted,19.12236559,4,0.260268817,0.749533188,18.46,19.42142,2
9207,Josh,Johnson,DET,QB,33,11,QB,average,0,56,0,NA,0,0,10
9207,Josh,Johnson,DET,QB,33,11,QB,robust,0,56,0,0,0,0,10
9207,Josh,Johnson,DET,QB,33,11,QB,weighted,0,58,0,NA,0,0,10
9308,Danny,Amendola,DET,WR,34,11,WR,average,9.03,57,0.07,2.347594514,7.536,10.524,17
13156,JuJu,Smith-Schuster,PIT,WR,23,2,WR,robust,19.09,5,0.705,0.785778,18.513,19.467,2
11679,Odell,Beckham,CLE,WR,27,5,WR,weighted,19.09419355,5,0.737043011,0.296984848,18.9,19.2745814,2
9427,Michael,Crabtree,ARI,WR,32,10,WR,average,4.45,113,0.04,NA,4.45,4.45,35
12801,Tyreek,Hill,KCC,WR,25,3,WR,robust,18.63,6,0.62,0,18.63,18.63,2
12801,Tyreek,Hill,KCC,WR,25,3,WR,weighted,18.63,6,0.634301075,NA,18.63,18.63,2
9431,Matthew,Stafford,DET,QB,31,10,QB,average,15.6,25,1.245,0.339411255,15.284,15.716,7
9431,Matthew,Stafford,DET,QB,31,10,QB,robust,15.6,25,1.245,0.355824,15.284,15.716,7
9431,Matthew,Stafford,DET,QB,31,10,QB,weighted,15.61053763,25,1.189301075,0.339411255,15.26,15.69536,7
9448,LeSean,McCoy,KCC,RB,31,10,RB,average,12.745,25,0.4325,0.756604256,12.2635,13.2265,8
9448,LeSean,McCoy,KCC,RB,31,10,RB,robust,12.745,25,0.4325,0.793191,12.2635,13.2265,8
9448,LeSean,McCoy,KCC,RB,31,10,RB,weighted,12.78526882,25,0.471451613,0.756604256,12.21,13.18049,8
9474,Jared,Cook,NOS,TE,32,10,TE,average,11.42,8,0.605,0.254558441,11.258,11.582,4
9474,Jared,Cook,NOS,TE,32,10,TE,robust,11.42,8,0.605,0.266868,11.258,11.582,4
9474,Jared,Cook,NOS,TE,32,10,TE,weighted,11.40645161,8,0.592956989,0.254558441,11.24,11.56106977,4
9662,Julian,Edelman,NEP,WR,33,10,WR,average,17.88,8,0.2125,0.509116882,17.556,18.204,3
9988,Antonio,Brown,NEP,WR,31,9,WR,robust,18.14,7,0.325,0.852495,17.4575,18.4925,3
9988,Antonio,Brown,NEP,WR,31,9,WR,weighted,18.08430108,7,0.234677419,0.813172798,17.4,18.42563953,3
9706,Chase,Daniel,CHI,QB,33,10,QB,average,0.792,47,0.008,0.560028571,0.0396,0.7524,10
9706,Chase,Daniel,CHI,QB,33,10,QB,robust,0.792,47,0.008,0.5871096,0.0396,0.7524,10
9706,Chase,Daniel,CHI,QB,33,10,QB,weighted,0.792,49,0.008,0.560028571,0,0.706353488,10
9714,Brian,Hoyer,IND,QB,34,10,QB,average,0.792,47,0.07,0.560028571,0.0396,0.7524,10
9714,Brian,Hoyer,IND,QB,34,10,QB,robust,0.792,47,0.07,0.5871096,0.0396,0.7524,10
9714,Brian,Hoyer,IND,QB,34,10,QB,weighted,0.792,49,0.07,0.560028571,0,0.706353488,10
9831,Golden,Tate,NYG,WR,31,9,WR,average,0,164,NA,NA,0,0,NA
9662,Julian,Edelman,NEP,WR,33,10,WR,robust,17.88,8,0.2125,0.533736,17.556,18.204,3
9662,Julian,Edelman,NEP,WR,33,10,WR,weighted,17.90709677,8,0.367741935,0.509116882,17.52,18.17304,3
9884,Demaryius,Thomas,NEP,WR,32,9,WR,average,2.23,132,0.245,NA,2.23,2.23,50
11675,Davante,Adams,GBP,WR,27,5,WR,robust,17.75,9,0.325,0.978516,17.056,18.244,3
11675,Davante,Adams,GBP,WR,27,5,WR,weighted,17.79215054,9,0.530860215,0.933380951,16.99,18.18724,3
9899,Colt,McCoy,WAS,QB,33,9,QB,average,0,56,NA,NA,0,0,10
9899,Colt,McCoy,WAS,QB,33,9,QB,robust,0,56,NA,0,0,0,10
9899,Colt,McCoy,WAS,QB,33,9,QB,weighted,0,58,NA,NA,0,0,10
9912,Ed,Dickson,SEA,TE,32,9,TE,average,0,95,NA,NA,0,0,16
9912,Ed,Dickson,SEA,TE,32,9,TE,robust,0,95,NA,0,0,0,16
9912,Ed,Dickson,SEA,TE,32,9,TE,weighted,0,96,NA,NA,0,0,16
9918,Emmanuel,Sanders,DEN,WR,32,9,WR,average,12.14,37,0.4875,0.664680374,11.717,12.563,11
11670,Sammy,Watkins,KCC,WR,26,5,WR,robust,17.585,10,0.455,5.878509,14.0165,21.1535,3
11670,Sammy,Watkins,KCC,WR,26,5,WR,weighted,17.28655914,10,0.175752688,5.607356775,13.62,20.69245349,3
9921,Andre,Roberts,BUF,WR,31,9,WR,average,0.91,156,0.12,NA,0.91,0.91,NA
11222,Keenan,Allen,LAC,WR,27,6,WR,robust,17.265,11,0.315,0.422541,16.9085,17.4215,4
11222,Keenan,Allen,LAC,WR,27,6,WR,weighted,17.23602151,11,0.263817204,0.403050865,16.88,17.38836047,4
9925,Jimmy,Graham,GBP,TE,33,9,TE,average,8.69,17,0.3075,1.187939392,7.934,9.446,8
9925,Jimmy,Graham,GBP,TE,33,9,TE,robust,8.69,17,0.3075,1.245384,7.934,9.446,8
9925,Jimmy,Graham,GBP,TE,33,9,TE,weighted,8.753225806,17,0.275698925,1.187939392,7.85,9.37376,8
9988,Antonio,Brown,NEP,WR,31,9,WR,average,18.14,7,0.325,0.813172798,17.4575,18.4925,3
11938,Adam,Thielen,MIN,WR,29,5,WR,robust,16.995,12,0.2375,0.185325,16.8825,17.1075,4
11938,Adam,Thielen,MIN,WR,29,5,WR,weighted,16.9855914,12,0.164677419,0.176776695,16.87,17.09296512,4
9992,Joe,Webb,HOU,QB,33,9,QB,average,0,56,NA,NA,0,0,10
9992,Joe,Webb,HOU,QB,33,9,QB,robust,0,56,NA,0,0,0,10
9992,Joe,Webb,HOU,QB,33,9,QB,weighted,0,58,NA,NA,0,0,10
10123,Logan,Paulsen,HOU,TE,32,9,TE,average,0.42,94,0.42,NA,0.42,0.42,16
10123,Logan,Paulsen,HOU,TE,32,9,TE,robust,0.42,94,0.42,0,0.42,0.42,16
10123,Logan,Paulsen,HOU,TE,32,9,TE,weighted,0.42,95,0.42,Inf,0.42,0.42,16
10261,A.J.,Green,CIN,WR,31,8,WR,average,0,164,0,NA,0,0,NA
11671,Mike,Evans,TBB,WR,26,5,WR,robust,16.905,13,0.5925,1.208319,16.0715,17.5385,4
11671,Mike,Evans,TBB,WR,26,5,WR,weighted,16.9588172,13,0.617741935,1.152584053,15.99,17.46841,4
10262,Blaine,Gabbert,TBB,QB,30,8,QB,average,0,56,0,NA,0,0,10
10262,Blaine,Gabbert,TBB,QB,30,8,QB,robust,0,56,0,0,0,0,10
10262,Blaine,Gabbert,TBB,QB,30,8,QB,weighted,0,58,0,NA,0,0,10
10271,Julio,Jones,ATL,WR,30,8,WR,average,19.405,2,0.1925,1.251579003,18.6085,20.2015,2
12175,Amari,Cooper,DAL,WR,25,4,WR,robust,16.61,14,0.64,1.586382,15.547,17.473,4
12175,Amari,Cooper,DAL,WR,25,4,WR,weighted,16.68301075,14,0.69155914,1.513208512,15.44,17.38098,4
10273,Cam,Newton,CAR,QB,30,8,QB,average,22.73,2,0.3875,0.777817459,22.135,23.125,2
10273,Cam,Newton,CAR,QB,30,8,QB,robust,22.73,2,0.3875,0.81543,22.135,23.125,2
10273,Cam,Newton,CAR,QB,30,8,QB,weighted,22.68107527,2,0.328602151,0.777817459,22.08,23.06104651,2
10276,Mark,Ingram,BAL,RB,30,8,RB,average,13.255,22,0.1525,0.487903679,12.9445,13.5655,7
10276,Mark,Ingram,BAL,RB,30,8,RB,robust,13.255,22,0.1525,0.511497,12.9445,13.5655,7
10276,Mark,Ingram,BAL,RB,30,8,RB,weighted,13.28096774,22,0.127473118,0.487903679,12.91,13.53583,7
