"","id","first_name","last_name","team.x","position","age","exp","pos.x","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","pos.y","team.y","opp_team","draftkings_cost","draftkings_fp","draftkings_value"
"37","7877","Frank","Gore","BUF","RB",36,14,"RB","average",6.83488349573746,69,0.197197966408369,1.30649770649518,5.4415,8.898,NA,"Frank Gore","RB","BUF","NYG","$3500","7.76","2.22"
"38","7877","Frank","Gore","BUF","RB",36,14,"RB","robust",6.55482375997248,70,0.0725271647881343,0.95879838312146,5.4415,8.898,NA,"Frank Gore","RB","BUF","NYG","$3500","7.76","2.22"
"39","7877","Frank","Gore","BUF","RB",36,14,"RB","weighted",6.37734422374894,57,0.236837600710581,0.897067557108812,5.27,7.54295281516904,NA,"Frank Gore","RB","BUF","NYG","$3500","7.76","2.22"
"40","7942","Darren","Sproles","PHI","RB",36,14,"RB","average",9.30679042345549,48,0.560929402810057,3.81433912963064,6.92131318567536,15.2625,NA,"Darren Sproles","RB","PHI","ATL","$3700","9.01","2.44"
"41","7942","Darren","Sproles","PHI","RB",36,14,"RB","robust",8.21014873686002,53,0.240270707570142,1.445535,6.92131318567536,15.2625,NA,"Darren Sproles","RB","PHI","ATL","$3700","9.01","2.44"
"42","7942","Darren","Sproles","PHI","RB",36,14,"RB","weighted",8.05923928974753,42,0.169200620975353,1.14055026217333,6.854,9.20798,NA,"Darren Sproles","RB","PHI","ATL","$3700","9.01","2.44"
"43","8062","Ryan","Fitzpatrick","MIA","QB",37,14,"QB","average",12.2988628358515,41,0.188862835851451,5.00975418522582,4.335,16.00232,7,"Ryan Fitzpatrick","QB","MIA","NE","$4700","15.32","3.26"
"44","8062","Ryan","Fitzpatrick","MIA","QB",37,14,"QB","robust",13.1071329436123,37,0.197132943612266,2.9348067,4.335,16.00232,7,"Ryan Fitzpatrick","QB","MIA","NE","$4700","15.32","3.26"
"45","8062","Ryan","Fitzpatrick","MIA","QB",37,14,"QB","weighted",13.9570497666994,28,0.0721777387789331,1.97930087579815,11.42,16.0260442553191,7,"Ryan Fitzpatrick","QB","MIA","NE","$4700","15.32","3.26"
"46","8247","Vernon","Davis","WAS","TE",35,13,"TE","average",7.59629166666667,19,0.169249999999999,4.16124745848096,3.77325,14.2015,3,"Vernon Davis","TE","WSH","DAL","$3200","2.9","0.91"
"47","8247","Vernon","Davis","WAS","TE",35,13,"TE","robust",6.989,21,0.397374999999999,1.6367904,3.77325,14.2015,3,"Vernon Davis","TE","WSH","DAL","$3200","2.9","0.91"
"48","8247","Vernon","Davis","WAS","TE",35,13,"TE","weighted",6.38689442269054,23,0.307826321604644,2.02143139382231,2.907,8.57961773700306,3,"Vernon Davis","TE","WSH","DAL","$3200","2.9","0.91"
"49","8269","Marcedes","Lewis","GBP","TE",35,13,"TE","average",2.511,53,0.0514666666666668,1.63539214752624,0.328,4.36,7,"Marcedes Lewis","TE","GB","MIN","$2500","2.44","0.98"
"50","8269","Marcedes","Lewis","GBP","TE",35,13,"TE","robust",2.52625,52,0.0967499999999997,2.3410254,0.328,4.36,7,"Marcedes Lewis","TE","GB","MIN","$2500","2.44","0.98"
"51","8269","Marcedes","Lewis","GBP","TE",35,13,"TE","weighted",2.71428803716609,51,0.227502235675617,1.35609733473838,0.86,4.19970930232558,7,"Marcedes Lewis","TE","GB","MIN","$2500","2.44","0.98"
"52","8416","Delanie","Walker","TEN","TE",35,13,"TE","average",11.7323333333333,7,0.227958333333333,3.68079114382281,6.4924,16.724,2,"Delanie Walker","TE","TEN","IND","$3500","11.02","3.15"
"53","8416","Delanie","Walker","TEN","TE",35,13,"TE","robust",12.007,6,0.742875,1.438122,6.4924,16.724,2,"Delanie Walker","TE","TEN","IND","$3500","11.02","3.15"
"54","8416","Delanie","Walker","TEN","TE",35,13,"TE","weighted",12.8455574075877,6,0.957732359598635,2.86892819370709,9.631,16.8693258575198,2,"Delanie Walker","TE","TEN","IND","$3500","11.02","3.15"
"55","8658","Adrian","Peterson","WAS","RB",34,12,"RB","average",13.1375063105607,32,0.0375063105606532,3.91385780077721,10.207,19.555,NA,"Adrian Peterson","RB","WSH","DAL","$3400","11.75","3.46"
"56","8658","Adrian","Peterson","WAS","RB",34,12,"RB","robust",11.9540252422426,37,0.132733600157138,2.7643077,10.207,19.555,NA,"Adrian Peterson","RB","WSH","DAL","$3400","11.75","3.46"
"57","8658","Adrian","Peterson","WAS","RB",34,12,"RB","weighted",11.7951087549457,27,0.310233710565598,2.03912156946064,10.2,14.5788608269002,NA,"Adrian Peterson","RB","WSH","DAL","$3400","11.75","3.46"
"58","8673","Ted","Ginn Jr.","NOS","WR",34,12,"WR","average",8.68841666666667,56,0.169707142857144,3.25633130279636,3.8945,12.6068,5,"Ted Ginn Jr.","WR","NO","LA","$4000","9.16","2.29"
"59","8673","Ted","Ginn Jr.","NOS","WR",34,12,"WR","robust",9.088,55,0.357124999999998,1.008168,3.8945,12.6068,5,"Ted Ginn Jr.","WR","NO","LA","$4000","9.16","2.29"
"60","8673","Ted","Ginn Jr.","NOS","WR",34,12,"WR","weighted",9.30118577690318,53,0.346479415951485,2.8167294865441,5.37,12.7318066869301,5,"Ted Ginn Jr.","WR","NO","LA","$4000","9.16","2.29"
"61","8687","Greg","Olsen","CAR","TE",34,12,"TE","average",9.83444444444445,12,0.137798611111112,2.14508691225114,8.352,13.3172,2,"Greg Olsen","TE","CAR","TB","$3300","9.43","2.86"
"62","8687","Greg","Olsen","CAR","TE",34,12,"TE","robust",9.525,13,0.53275,0.7413,8.352,13.3172,2,"Greg Olsen","TE","CAR","TB","$3300","9.43","2.86"
"63","8687","Greg","Olsen","CAR","TE",34,12,"TE","weighted",9.13766113088177,15,1.15964606032211,0.707227676852898,8.32,10.0497436170213,2,"Greg Olsen","TE","CAR","TB","$3300","9.43","2.86"
"64","8712","Drew","Stanton","CLE","QB",35,12,"QB","average",1.0191,61,0.0681097222222221,0.470081473789385,0.16728,1.204,12,"Drew Stanton","QB","CLE","NYJ","$4100","0","N/A"
"65","8712","Drew","Stanton","CLE","QB",35,12,"QB","robust",1.0141,58,0.0598305555555555,0.0349893599999999,0.16728,1.204,12,"Drew Stanton","QB","CLE","NYJ","$4100","0","N/A"
"66","8712","Drew","Stanton","CLE","QB",35,12,"QB","weighted",1.083521701172,43,0.0193986173751637,0.556703214382512,0,1.19795107033639,12,"Drew Stanton","QB","CLE","NYJ","$4100","0","N/A"
"67","8944","Matt","Moore","KCC","QB",35,12,"QB","average",0.9282,64,0.0898333333333333,0.439991781741432,0.12856,1.044,12,"Matt Moore","QB","KC","OAK","$4000","0","N/A"
"68","8944","Matt","Moore","KCC","QB",35,12,"QB","robust",0.9625,59,0.0164805555555555,0.118608,0.12856,1.044,12,"Matt Moore","QB","KC","OAK","$4000","0","N/A"
"69","8944","Matt","Moore","KCC","QB",35,12,"QB","weighted",0.909057233293878,46,0.0399110439934663,0.49944352343138,0,1.042874617737,12,"Matt Moore","QB","KC","OAK","$4000","0","N/A"
"70","9064","Joe","Flacco","DEN","QB",34,11,"QB","average",13.174585170857,35,0.264585170857012,0.768374926060954,12.4296528884565,14.31149,8,"Joe Flacco","QB","DEN","CHI","$4900","13.32","2.72"
"71","9064","Joe","Flacco","DEN","QB",34,11,"QB","robust",13.2291549779672,35,0.117588506161084,0.333584999999999,12.4296528884565,14.31149,8,"Joe Flacco","QB","DEN","CHI","$4900","13.32","2.72"
"72","9064","Joe","Flacco","DEN","QB",34,11,"QB","weighted",13.2922418616087,31,5.51620682960206,0.837971963829471,12.2840813668561,14.3555309118541,8,"Joe Flacco","QB","DEN","CHI","$4900","13.32","2.72"
"73","9075","DeSean","Jackson","PHI","WR",33,11,"WR","average",13.5010475901798,29,0.489011875894043,2.76904316449653,10.82655,17.849773101701,3,"DeSean Jackson","WR","PHI","ATL","$5900","11.44","1.94"
"74","9075","DeSean","Jackson","PHI","WR",33,11,"WR","robust",13.2877677705393,28,0.20664277053927,1.6879401,10.82655,17.849773101701,3,"DeSean Jackson","WR","PHI","ATL","$5900","11.44","1.94"
"75","9075","DeSean","Jackson","PHI","WR",33,11,"WR","weighted",12.6809034240394,31,0.183169147350482,1.77956880442804,10.5,14.9249556574924,3,"DeSean Jackson","WR","PHI","ATL","$5900","11.44","1.94"
